Eje X,Eje Y,Eje Z
1,-268,-8
-28,-406,-18
-20,-643,-22
0,-621,-32
6,-486,-20
28,-324,-1
26,-344,-16
25,-477,-16
39,-575,1
-3,-518,-4
-19,-422,-5
-19,-375,-1
-9,-311,-1
10,-312,1
-3,-391,-15
-13,-511,-9
-32,-546,-2
-23,-458,-13
-11,-394,-14
-6,-339,-17
-22,-438,-31
-27,-605,-26
-20,-587,-46
0,-458,-48
1,-412,-39
-4,-452,-32
-5,-520,-38
0,-654,-46
2,-662,-48
0,-647,-54
9,-648,-56
11,-681,-82
3,-709,-100
18,-691,-96
37,-752,-105
20,-870,-135
3,-832,-117
13,-750,-98
35,-540,-72
28,-396,-60
-71,-417,-39
-108,-476,-26
-70,-527,-14
-72,-536,-30
19,-539,-10
-28,-301,1
-13,-307,7
11,-415,-12
24,-376,-63
32,-276,-55
29,-286,-19
14,-290,-30
13,-207,-41
15,-139,-38
11,-98,-19
-3,-113,-14
4,-99,-9
12,-26,-10
15,73,3
9,27,0
-3,22,0
-5,115,7
0,342,13
-1,493,9
4,520,28
-2,552,32
4,738,43
-20,903,60
-37,934,72
-44,769,76
3,513,21
14,415,-13
14,438,-12
-6,506,18
10,525,25
18,500,15
21,460,11
39,462,0
25,420,-10
12,367,-1
-1,459,6
14,516,15
21,485,13
2,377,-10
-3,359,-21
11,467,-12
-11,606,-3
-19,574,29
-11,471,11
-14,479,3
-10,554,3
-24,621,11
-40,604,2
-57,704,9
-48,683,21
-43,556,25
-39,470,26
-36,471,24
-42,623,16
-51,652,31
-31,473,55
-1,383,23
-3,462,14
-17,499,16
-31,497,37
-30,421,34
-12,463,11
-6,557,15
-17,487,22
-21,438,7
-20,479,6
-9,504,18
-4,467,7
-2,505,-15
-16,511,4
-21,449,13
-8,376,-10
-2,375,-19
3,505,-6
6,621,21
1,578,33
-2,513,38
4,412,42
6,419,37
20,456,47
42,521,61
15,441,56
-1,316,59
33,289,62
50,305,51
25,296,40
19,254,38
1,156,26
-4,98,0
-3,21,-1
-14,-88,2
-6,-115,-5
7,-108,4
1,-218,10
-13,-239,7
-15,-141,0
-21,-153,-9
-34,-241,-17
-10,-175,0
11,-236,13
-15,-367,-11
-42,-433,-48
-70,-522,-72
-85,-585,-76
-68,-571,-52
11,-557,-31
32,-544,-14
51,-449,-21
-47,-605,-40
-148,-752,-53
-34,-372,-36
12,-26,-10
-12,-35,-22
-43,-250,-33
-41,-382,-42
-17,-585,-57
-44,-597,-55
-70,-414,-43
-29,-289,-27
11,-390,-41
7,-546,-59
-6,-650,-42
-31,-623,-24
-41,-514,-33
7,-376,-22
43,-315,-9
40,-325,-10
26,-423,-20
13,-533,-24
-1,-547,-19
-17,-438,-16
-9,-318,-15
-12,-264,-17
-13,-295,-6
-8,-328,-11
-12,-375,-11
-18,-378,0
-15,-381,0
-2,-375,-16
0,-359,-12
-9,-423,-20
-3,-459,-16
1,-477,-12
13,-519,-32
19,-493,-43
25,-406,-25
19,-327,-31
29,-398,-38
24,-512,-46
30,-542,-54
35,-547,-52
35,-496,-42
36,-485,-22
31,-573,-35
23,-621,-49
18,-588,-33
14,-598,-32
19,-612,-30
37,-622,-43
43,-548,-57
41,-560,-57
41,-594,-39
30,-528,-40
33,-570,-62
41,-645,-61
46,-681,-40
46,-608,-54
50,-572,-39
34,-610,-39
20,-665,-48
19,-620,-41
21,-606,-31
4,-529,-49
-1,-457,-29
1,-373,-18
14,-266,-26
15,-287,-6
3,-243,-10
0,-191,-7
-5,-87,7
-12,54,14
-21,90,8
-26,100,0
-25,152,9
-36,313,13
-37,419,15
-21,500,15
-5,479,22
5,598,7
4,874,-1
-29,963,17
-46,733,7
-27,658,-6
10,676,-46
-6,735,-63
-53,724,-24
-76,469,-14
-35,300,-10
-26,470,0
-33,606,5
-51,689,21
-62,527,14
-38,527,21
-30,692,10
-59,848,32
-52,701,48
-38,609,37
-1,503,6
14,507,-6
-9,529,0
-44,594,21
-48,664,12
-27,644,14
-20,619,24
-21,580,7
-45,648,10
-57,693,1
-59,643,0
-47,571,15
-21,508,11
-24,520,9
-43,686,2
-46,709,32
-51,464,29
-18,290,-19
7,453,-20
-8,557,2
-27,559,6
-42,577,5
-20,516,6
13,476,-1
42,519,-19
57,556,0
79,563,-8
79,614,-10
56,682,-14
25,656,-3
-2,576,-2
-9,612,4
10,504,16
32,457,3
51,586,10
60,877,33
18,745,31
16,458,-11
31,422,15
21,317,24
-41,177,-3
-40,170,-20
-24,249,-14
-6,357,0
-1,262,2
-18,137,17
5,81,23
-3,31,0
-4,66,0
-3,80,5
-8,110,13
0,62,13
-2,23,8
0,8,5
-17,-60,0
-18,-38,-6
-11,13,-9
-19,-28,-6
-44,-151,-8
-36,-138,6
-25,-107,1
-55,-158,-17
-54,-198,-6
-44,-214,24
-58,-255,30
-99,-395,6
-193,-720,-69
-264,-707,-106
-124,-341,-53
-14,-124,-7
-26,-184,-38
-72,-325,-31
-81,-459,-50
-85,-409,-85
-32,-136,-27
5,-181,-4
2,-235,-19
-4,-268,-17
4,-323,8
2,-524,-17
6,-579,-32
59,-391,5
71,-249,48
48,-268,56
7,-423,48
24,-590,1
40,-647,-19
14,-565,-17
-43,-386,26
-10,-377,44
19,-413,21
35,-469,5
4,-601,26
-22,-753,25
-27,-712,19
6,-544,12
7,-524,24
-5,-575,31
-28,-664,41
-18,-714,12
-28,-657,-8
-27,-578,4
-37,-527,25
-42,-541,5
-46,-537,-10
-31,-502,-12
-10,-509,0
-21,-527,-8
-22,-512,-32
-11,-484,-24
8,-489,-20
14,-489,-20
9,-639,-30
-6,-687,-27
-5,-668,-18
5,-585,-11
9,-448,0
26,-596,19
22,-771,-45
14,-708,-63
47,-504,-26
56,-473,-15
59,-548,-24
9,-549,-59
-23,-495,-42
-12,-434,-13
0,-527,-21
-13,-533,-47
-17,-505,-21
-22,-508,-33
-35,-623,-53
-38,-805,-44
-12,-688,-29
5,-584,-21
3,-521,-43
-11,-516,-48
3,-368,-32
15,-203,-21
-7,-95,-33
-15,-67,-9
-16,19,15
-20,83,8
-25,224,0
-23,307,24
-28,280,33
-34,261,15
-48,465,6
-35,775,51
-26,869,73
-31,826,66
-26,558,22
-5,372,-8
-24,502,0
-34,598,18
-52,506,6
-41,430,-9
-9,392,-13
13,380,27
0,427,4
-13,525,-18
-7,531,-28
10,545,16
11,544,14
20,569,13
22,630,-6
15,574,17
14,539,32
17,469,24
37,396,-5
22,338,-15
11,344,-15
5,364,-15
-6,371,-1
-14,388,-18
-16,438,-25
-11,487,-3
-26,541,11
-32,583,10
-26,591,1
-20,560,-5
-16,541,-10
-23,594,-6
-21,632,3
-25,588,14
-23,561,4
-18,531,1
-26,535,2
-25,547,-4
-16,511,0
-1,389,7
6,283,-8
7,259,-23
4,271,-37
-10,313,-21
-17,286,-24
-8,320,-19
7,405,-9
-2,448,-6
-16,469,4
-18,498,-1
-33,605,7
-31,599,15
3,488,-10
23,366,-5
46,346,-18
58,375,-16
32,367,7
-30,272,16
-28,284,-15
-3,349,1
6,351,12
-39,332,-7
-58,368,-32
-67,500,-32
-72,641,29
-52,663,22
-37,665,21
-43,665,27
-7,639,35
5,568,38
-3,344,40
-5,201,8
-25,182,-3
-49,166,0
2,171,12
46,163,33
43,143,34
25,82,13
31,109,18
17,87,21
18,90,17
14,79,27
-5,-57,15
-22,-157,-10
-28,-255,-40
-36,-226,-19
-24,-241,-11
-19,-356,-25
-28,-417,-14
-43,-519,-30
-76,-615,-66
-126,-580,-91
-39,-288,-10
-7,-260,9
-4,-331,-2
-30,-412,-6
-43,-545,-44
-28,-358,-41
-1,-175,-13
16,-88,15
-7,-303,-23
4,-332,-27
26,-123,0
16,-192,-16
-10,-396,-35
4,-527,-47
19,-513,-55
23,-342,-45
-32,-243,10
-65,-375,21
-22,-653,-37
16,-787,-61
-17,-722,-26
-63,-597,-6
-47,-396,1
-17,-284,8
21,-179,25
-2,-260,13
-34,-496,-11
-36,-633,-13
-8,-583,5
-7,-482,25
-31,-560,22
-41,-628,14
-37,-657,11
-24,-530,53
4,-515,-8
-19,-461,-57
-34,-456,-20
-11,-457,2
7,-431,0
12,-405,-30
2,-359,-54
8,-368,-38
25,-393,-31
20,-528,-73
-13,-538,-81
1,-514,-61
22,-554,-49
18,-605,-53
-9,-727,-87
-13,-806,-83
4,-767,-70
21,-687,-44
7,-643,-51
-25,-627,-44
-25,-512,-6
-7,-417,29
-4,-386,18
-13,-518,-33
-19,-720,-47
-8,-627,-22
5,-486,15
-4,-496,26
-4,-606,5
19,-659,-10
27,-646,-13
21,-656,-13
-12,-760,-27
-35,-789,-58
-43,-724,-66
-40,-598,-46
-44,-546,-48
-51,-499,-41
-47,-382,-32
-17,-131,-19
-7,28,-8
-9,135,0
-9,150,10
-18,175,28
-26,271,28
-18,481,40
-9,714,49
-18,706,52
-19,559,52
-12,535,46
-1,663,23
1,832,-5
-7,837,-5
-8,601,39
23,468,6
46,573,-53
49,647,-96
27,875,-98
8,979,-39
12,797,-13
23,819,-16
